,name,grape,region,variety,rating,notes
597,Alamos Bonarda 2001,,Argentina,Red Wine,86,"This is an intense wine, full of dark, chewy blackberry fruit on the nose. The palate is round, fat, oily almost, and full of creamy sweet fruit. Piles of fruit and extract, and very low acidity."
598,Alamos Cabernet Sauvignon 1998,,Argentina,Red Wine,89,"From the vineyard to the winery, Alamos Ridge Cabernet Sauvignon is made to emphasize varietal fruit character. The cool evening tempratures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed (only free-run juice is used) and fermentation temperatures are carefully controlled. Two to four year old barrels are used to age the wine, which is only lightly fined."
599,Alamos Cabernet Sauvignon 2000,,Argentina,Red Wine,88,"From the vineyard to the winery, Alamos Ridge Cabernet Sauvignon is made to emphasize varietal fruit character. The cool evening tempratures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed (only free-run juice is used) and fermentation temperatures are carefully controlled. Two to four year old barrels are used to age the wine, which is only lightly fined."
600,Alamos Cabernet Sauvignon 2001,,Argentina,Red Wine,86,"From the vineyard to the winery, Alamos Ridge Cabernet Sauvignon is made to emphasize varietal fruit character. The cool evening tempratures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed (only free-run juice is used) and fermentation temperatures are carefully controlled. Two to four year old barrels are used to age the wine, which is only lightly fined."
601,Alamos Cabernet Sauvignon 2006,,Argentina,Red Wine,88,"Sourced from Bodega Catena Zapata's high-altitude vineyards in Mendoza, the Alamos line is consistent in quality and value year after year. From the vineyard to the winery, the Alamos wines are made to emphasize varietal fruit character with the most gentle and minimal handling of the grapes. The wines have ripe forward fruit with soft, sweet tannins that make them highly approachable upon release. "
602,Alamos Cabernet Sauvignon 2011,,Argentina,Red Wine,90,"Rich and expressive, with flavors of dark berries and spice."
603,Alamos Chardonnay 1998,,Argentina,White Wine,89,"From the vineyard to the winery, Alamos Ridge Chardonnay is made to emphasize varietal fruit character. The cool evening temperatures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed, fermentation temperatures are carefully controlled and 23% new barrels are used to age the wines."
604,Alamos Chardonnay 2000,,Argentina,White Wine,88,"From the vineyard to the winery, Alamos Ridge Chardonnay is made to emphasize varietal fruit character. The cool evening temperatures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed, fermentation temperatures are carefully controlled and 23% new barrels are used to age the wines."
605,Alamos Chardonnay 2002,,Argentina,White Wine,86,"From the vineyard to the winery, Alamos Chardonnay is made to emphasize varietal fruit character. The cool evening temperatures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed, fermentation temperatures are carefully controlled and 23% new barrels are used to age the wines."
606,Alamos Chardonnay 2004,,Argentina,White Wine,89,"Rich tropical fruit on the nose accompanied by notes of floral and citrus are followed by concentrated flavors of apple, pear, vanilla and spice ending in a creamy finish that lingers softly in the mouth."
607,Alamos Chardonnay 2006,,Argentina,White Wine,87,"Sourced from Bodega Catena Zapata's high-altitude vineyards in Mendoza, the Alamos line is consistent in quality and value year after year. From the vineyard to the winery, the Alamos wines are made to emphasize varietal fruit character with the most gentle and minimal handling of the grapes. The wines have ripe forward fruit with soft, sweet tannins that make them highly approachable upon release. "
608,Alamos Chardonnay 2010,,Argentina,White Wine,87,"Flavors of ripe apples, apricot and peaches, with layers of tropical fruit in this Alamos Chardonnay. Additional flavors and aromas of brown spice and butterscotch from the oak aging round out this balanced Chardonnay."
609,Alamos Chardonnay 2015,,"Mendoza, Argentina",White Wine,89,"The 2015 Alamos Chardonnay offers layered aromas and flavors of crisp green apple, peach and citrus blossom. On the full and round palate, flavors of pear and pineapple emerge, balanced by subtle notes of vanilla, butterscotch and sweet brown spice. A lingering finish is accented by clean acidity and citrus zest."
610,Alamos Chardonnay 2016,,"Mendoza, Argentina",White Wine,90,"Alamos Chardonnay shows a straw-yellow color with light shades of green. The nose offers ripe tropical fruit aromas with citrus and floral notes. The mouthfeel is full and rich, with concentrated ripe pear and fig fruit mingled with vanilla and sweet spice oak flavors. The finish is clean and fresh with bright, crisp acidity."
611,Alamos Malbec 2000,,Argentina,Red Wine,88,"From the vineyard to the winery, Alamos Ridge Malbec is made to emphasize varietal fruit character. The cool evening temperatures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed (only free-run juice is used) and fermentation temperatures are carefully controlled. A blend of French and American oak barrels, 35% of which are new, are used to age the wine."
612,Alamos Malbec 2001,,Argentina,Red Wine,86,"From the vineyard to the winery, Alamos Ridge Malbec is made to emphasize varietal fruit character. The cool evening temperatures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed (only free-run juice is used) and fermentation temperatures are carefully controlled. A blend of French and American oak barrels, 35% of which are new, are used to age the wine."
613,Alamos Malbec 2002,,Argentina,Red Wine,89,"From the vineyard to the winery, Alamos Ridge Malbec is made to emphasize varietal fruit character. The cool evening temperatures in Catenas high altitude vineyards allow for prolonged hang-time, preserving the fruits full spectrum of aromas and flavors. At the winery, the grapes are gently destemmed (only free-run juice is used) and fermentation temperatures are carefully controlled. A blend of French and American oak barrels, 35% of which are new, are used to age the wine."
614,Alamos Malbec 2003,,Argentina,Red Wine,88,"""Saturated and extracted, with an incredibly deep purple tint paving the way for manly aromas of espresso, campfire and toasted coconut. The palate, meanwhile, runs a bit sweet, with boysenberry and plum. Soft on the back end, but with enough spine to see it through. For fans of bold reds."""
615,Alamos Malbec 2005,,Argentina,Red Wine,87," ""Best Buy"" "
616,Alamos Malbec 2006,,Argentina,Red Wine,89,"The 2006 Alamos Malbec presents a deep, opaque violet color with purple hues. The nose is intense and complex, with ripe black fruits, sweet spice and a touch of violets. The mouthfeel is sweet and supple, with black cherry and cassis flavors mingled with spicy black pepper and a touch of leather. The finish is long and persistent with soft, sweet tannins."
617,Alamos Malbec 2008,,Argentina,Red Wine,90,"The 2008 Alamos Malbec has a dark, blackish purple color. The nose shows ripe black fruits, black pepper spice and floral notes. The mouthfeel is full yet soft and supple, with black raspberry and currant flavors mingled with notes of sweet spice and a touch of leather. The finish is long and persistent with soft, sweet tannins."
618,Alamos Malbec 2009,,Argentina,Red Wine,89,"Winemaker Felipe Stahlschmidt observed flavors of dark cherry and blackberry fruit in this 2009 Alamos Malbec, with integrated spice and vanilla oak characteristics. The wine has a full structure and a long, lingering finish which makes it enjoyable now, or for years to come."
619,Alamos Malbec 2007,,Argentina,Red Wine,88,"The 2007 Alamos Malbec has a dark, blackish purple color. The nose shows ripe black fruits, black pepper spice and floral notes. The mouthfeel is full yet soft and supple, with black raspberry and currant flavors mingled with notes of sweet spice and a touch of leather. The finish is long and persistent with soft, sweet tannins."
620,Alamos Malbec 2010,,Argentina,Red Wine,88,"Malbec is the signature wine of the Mendoza region and represents the highest achievements of Argentine winemaking. The Alamos Malbec has dark, blackish purple color. The nose shows ripe black fruits, black pepper spice and floral notes. The mouthfeel is full yet soft and supple, with black raspberry and currant flavors mingled with notes of sweet spice and a touch of leather. The finish is long and persistent with soft, sweet tannins."
621,Alamos Malbec 2012,,Argentina,Red Wine,89,"A classically Argentine wine, the Alamos 2012 Malbec is blended with small portions of Syrah and Bonarda to meld deep dark cherry and blackberry flavors with hints of brown spice and vanilla. A long finish and firm tannins make this Malbec unforgettable."
622,Alamos Malbec Mendoza Seleccion 2007,,Argentina,Red Wine,90,"Presents a deeply dark violet color with blackish tones. The nose is full of ripe black fruits with floral tones and touches of leather, vanilla, and spice. The mouthfeel is full yet supple, with juicy black raspberry, black cherry and black currant fruit layered with notes of violets, black pepper and anis. The finish is long and lingering, with soft, velvety tannins and bright, refreshing acidity. "
623,Alamos Malbec Mendoza Seleccion 2008,,Argentina,Red Wine,90,"The 2008 Alamos Seleccion Malbec shows an opaque, dark violet color.  The nose is full of ripe blueberry fruits with notes of violets and sweet spice.  The moutheel is full and rich with ripe black cherry and cassis fruit layered with notes of wildflowers, spicy black pepper and anise.  The finish shows a supple silky texture with a bright, racy acidity and a stony minerality."
624,Alamos Malbec Mendoza Seleccion 2009,,Argentina,Red Wine,88,"Malbec is the ""signature wines of the Mendoza region, representing the greatest achievements of Argentine winemaking, and Alamos Seleccion Malbec is the pinnacle of Alamos winemaking. The nose is full of ripe black fruits with floral tones and touches of leather, vanilla, and spice. The mouthfeel is full yet supple, with juicy black raspberry, black cherry and black currant fruit flavors layered with notes of violets, black pepper and anise. The finish is long and lingering, with soft, velvety tannins and bright, refreshing acidity."
625,Alamos Malbec Mendoza Seleccion 2010,,Argentina,Red Wine,89,"The Alamos 2010 Seleccion Malbec has a nose full of ripe black fruit and violet aromas with touches of black pepper and brown spice that are delivered by the oak on the palate. The mouthfeel is full yet supple, with ripe blackberry, black cherry and plum flavors. This wine has a full body with a deep, plush finish."
626,Alamos Malbec Mendoza Seleccion 2011,,Argentina,Red Wine,90,"The pinnacle of our portfolio, the Alamos 2011 Selección Malbec has enticing ripe black fruit characteristics of plum and blackberry. Intense aromas of violet and dark berry jump right out of the glass and extend to the palate, where they are complemented by hints of brown spice and pepper from oak aging. Full-bodied, this high-profile Malbec culminates in a deep, luscious finish."
627,Alamos Malbec Mendoza Seleccion 2012,,Argentina,Red Wine,90,Deep dark cherry and blackberry flavors with hints of brown spice and vanilla.
628,Alamos Malbec Mendoza Seleccion 2013,,Argentina,Red Wine,91,"The  2013 Alamos Seleccion Malbec is the pinnacle of the Alamos portfolio, representing the signature grape of the Mendoza region. This Malbec begins with a nose of ripe plum and blackberry notes. On the palate these characteristics are framed by hints of brown spice and black pepper. The supple mouthfeel enhances flavors of violet and berry. This wine has a full body with a deep, luscious finish. "
629,Alamos Malbec Mendoza Seleccion 2014,,"Mendoza, Argentina",Red Wine,89,"Our 2014 Alamos Selección Malbec is the pinnacle of our portfolio, representing the signature grape of the Mendoza region. This Malbec begins with a nose of ripe plum and blackberry notes. On the palate these characteristics are framed by hints of brown spice and black pepper. The supple mouthfeel enhances flavors of violet and berry. This wine has a full body with a deep, luscious finish."
630,Alamos Pinot Noir 2001,,Argentina,Red Wine,86,"Possessing exceptional varietal character, this Pinot has attractive cherry fruit and fig flavors with a rich, silky texture and a long, supple finish. Pair with salmon, seafood salads and roast pork."
631,Alamos Red Blend 2010,,Argentina,Red Wine,90,"This inaugural vintage of the Alamos Red Blend offers a unique combination of Argentine traditions with its Malbec base and layers of Bonarda. Dark berry fruit flavors are framed by brown spice and vanilla oak characters. Tempranillo grapes give this wine a unique earthy character while Syrah, Petit Verdot and Cabernet Sauvignon add structure.  "
632,Alamos Red Blend 2016,,"Mendoza, Argentina",Red Wine,90,"Made primarily from Malbec (Argentina's signature red grape), Bonarda (Argentina's second most widely planted red grape), and Tempranillo, the Alamos Red Blend displays deep, ripe flavors of blackberry and plum with layers of brown spice. "
633,Alamos Red Blend 2017,,"Mendoza, Argentina",Red Wine,90,"Made primarily from Malbec (Argentina's signature red grape), Bonarda (Argentina's second most widely planted red grape), and Tempranillo, the Alamos Red Blend displays deep, ripe flavors of blackberry and plum with layers of brown spice."
634,Alamos Torrontes 2015,,"Salta, Argentina",White Wine,89,"Alamos Torrontes captures all of the explosive aromatic character of this Argentine grape, with lively notes of citrus and peach fruit interwoven with delicate layers od jasmine blossom and fresh herbs. Light and fresh on the palate, it finishes long and lingering with fresh, balanced acidity. "
635,Alban Central Coast Viognier 2014,,"Central Coast, California",White Wine,90,"Alban Central Coast Viognier is rich, layered, and textured, with peach and tangerine it remains Alban's goal to stay true to the hedonistic heart of Viognier and to the love of purity that is at the core of Alban Vineyards. "
636,Alban Central Coast Viognier 2016,,"Central Coast, California",White Wine,92,"Alban Central Coast Viognier is rich, layered, and textured, with peach and tangerine it remains Alban's goal to stay true to the hedonistic heart of Viognier and to the love of purity that is at the core of Alban Vineyards."
637,Alban Edna Valley Grenache 2001,,"Central Coast, California",Red Wine,93,"""Aromatically complex, with high-toned wild berry, tar, blackberry and beefy white pepper, sage and a touch of new leather. It's remarkably complex and concentrated, finishing with a rustic minerally edge. Drink now through 2012."""
638,Alban Estate Roussanne 2014,,"Edna Valley, Central Coast, California",White Wine,94,"Alban Roussanne is a rich mix of honey, petroleum, hazelnut, and lemon zest notes that are unlike anything other than Roussanne. It pairs better with food than just about any white or red one commonly encounters."
639,Alban Estate Viognier 2002,,"Central Coast, California",White Wine,92,"""The 2002 Viognier Estate sees a small quantity of new oak, but the primary focus is opulent, concentrated fruit displaying the varietal's tell-tale peach, apricot, and honeysuckle concoction in a dense yet lively, vibrant style. It is best consumed within 12-24 months of bottling to take advantage of its exuberance and perfume."""
640,Alban Estate Viognier 2004,,"Central Coast, California",White Wine,90,"""The 2004 Viognier exhibits the smoky, exotic side of this varietal. Notes of honeysuckle, peaches, and apricots along with good underlying acidity are found in this ripe, medium to full-bodied, fragrant Viognier. It is best consumed during its first year of life."""
641,Alban Lorraine Estate Syrah 2000,,"Central Coast, California",Red Wine,94,"Lorraine is 100% Syrah from a combination of marine soils with cobbles and sandstone vineyards laced with chalk.  This wine always has the reddest fruits of Alban's Syrahs, and the sweetest roundest tannins.  Aged 3.5 years in barrel and bottled unfined and unfiltered."
642,Alban Lorraine Estate Syrah 2005,,"Edna Valley, Central Coast, California",Red Wine,96,"The finest Syrah John Alban has yet produced, its inky/ruby/purple hue is accompanied by gorgeously sweet aromas of flowers, blueberries, black raspberries, blackberries, and subtle hints of smoky oak, bacon fat, and licorice. "
643,Alban Pandora 1999,,"Edna Valley, Central Coast, California",Red Wine,91,"Blend: 60% Grenache, 40% Syrah"
644,Alban Pandora 2006,,"Edna Valley, Central Coast, California",Red Wine,97,"White flowers, cloves and mint wrap around layers of plush dark fruit in a sensual, mysterious Grenache of the very highest level. Despite its size, the Pandora is more refined than the straight Grenache. "
645,Alban Pandora 2009,,"Edna Valley, Central Coast, California",Red Wine,97,"White flowers, cloves and mint wrap around layers of plush dark fruit in a sensual, mysterious Grenache of the very highest level. Despite its size, the Pandora is more refined than the straight Grenache. "
646,Alban Pandora 2011,,"Edna Valley, Central Coast, California",Red Wine,95,"White flowers, cloves and mint wrap around layers of plush dark fruit in a sensual, mysterious Grenache of the very highest level. Despite its size, the Pandora is more refined than the straight Grenache. "
647,Alban Pandora 2013,,"Edna Valley, Central Coast, California",Red Wine,99,"In the myth, Pandora is the first woman- the Greek ‘Eve’.  She is fashioned out of clay and as you know, handed a vessel that she is instructed not to open.  Of course, curiosity forces her to take a look.  In that moment, all the challenges of the world are released- much like the effect of the apple in Eden.  What is all too often overlooked is that Pandora shuts the vessel in time to retain one attribute: Hope.  Naturally as the first woman, she is the source of all hope for mankind.  "
649,Alban Patrina Alban Estate Syrah 2013,,"Edna Valley, Central Coast, California",Red Wine,92,"2013 marks the sixth vintage of this Alban offering; it was also a superlative vintage for them and much of California. Patrina '13 is a true to form Alban Syrah: dark, dense, soft, concentrated and long. Blue and Black fruits with graphite and licorice notes and the ultra-sweet soft tannins that are the hallmark of the 2013 vintage. 2500 cases aged 27 months in 60% new French oak, bottled unfined and unfiltered using gravity."
650,Alban Patrina Alban Estate Syrah 2014,,"Edna Valley, Central Coast, California",Red Wine,93,"Patrina is a true-to-form Alban Syrah: dark, dense, soft, concentrated and long. Notes of blue and black fruits, graphite and licorice greet the senses."
651,Alban Reva Estate Syrah (1.5 Liter Magnum) 2012,,"Edna Valley, Central Coast, California",Red Wine,95,"This is a wine with a dark color, and concentrated flavors of black fruits, fennel, and graphite. Perhaps the most distinguishing note of Reva is a unique iodine and oyster shell aromatic that is unlike anything in Alban's other Syrahs. "
654,Alban Reva Estate Syrah 2010,,"Edna Valley, Central Coast, California",Red Wine,93,"Smoke, graphite, iodine and chocolate all show in this full-bodied, concentrated, yet fresh and lively Syrah. It will benefit from short-term cellaring and 15 years of longevity. "
655,Alban Reva Estate Syrah 2011,,"Edna Valley, Central Coast, California",Red Wine,96,"Smoke, graphite, iodine and chocolate all show in this full-bodied, concentrated, yet fresh and lively Syrah. It will benefit from short-term cellaring and 15 years of longevity. "
657,Alban Seymour's Vineyard Syrah 2003,,"Central Coast, California",Red Wine,95,"Atop the most distant peak from Alban's winery and main vineyard there is a dense vein of flint that is mixed with chalk and sandstone. This soil produces the grapes that make Seymour’s aromatics of Asian spices, and flavors of smoked meats, graphite, and licorice. This Syrah is their most structured and broad. "
658,Albert Bichot Aloxe-Corton Clos des Marechaudes Premier Cru 2013,,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,92,"The monopoly Aloxe Corton 1er Cru ""Clos des Maréchaudes"" has a beautiful garnet red colour. The nose has fruityaromas of blackberry, strawberry and notes of mild spices, tea and cocoa. With a very supple tannic structure, thiswell-balanced wine has lovely pleasant velvety tannins. The finish is long and aromatic, reminiscent of the fruity aromasof the nose."
659,Albert Bichot Aloxe-Corton Clos des Marechaudes Premier Cru Domaine du Pavillon 2016,,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,91,"The nose of our Aloxe-Corton Premier Cru « Clos des Maréchaudes » features fruity aromas of blackberry, strawberry and notes of mild spices, tea and cocoa. Boasting extremely supple structure, this balanced wine has lovely, pleasing, velvety tannins. The finish is long and aromatic, reminiscent of the fruity aromas perceived on the nose."
660,Albert Bichot Aloxe-Corton Clos des Marechaudes Premier Cru Domaine du Pavillon Monopole 2017,,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,90,"The nose of our Aloxe-Corton Premier Cru « Clos des Maréchaudes » features fruity aromas of blackberry, strawberry and notes of mild spices, tea and cocoa. Boasting extremely supple structure, this balanced wine has lovely, pleasing, velvety tannins. The finish is long and aromatic, reminiscent of the fruity aromas perceived on the nose."
661,Albert Bichot Chablis Domaine Long Depaquit 2014,,"Chablis, Burgundy, France",White Wine,89,"This Chablis' crystalline limpidity and its pale yellow color with light green highlights tell a great deal about its character which is bursting with mineral precision and finesse. Very pure nose that is typical of Chablis (white flowers, flint) opens up to a palate that boasts an elegant combination of almond notes and lovely vivacity. An easy-drinking wine that would be best to drink in the next 3 to 5 years."
662,Albert Bichot Chablis Domaine Long Depaquit 2015,,"Chablis, Burgundy, France",White Wine,90,"Very pure nose That is typical of Chablis (white flowers, flint) opening up to a palate That boasts an elegant combination of almond balanced and lovely vivacity. "
663,Albert Bichot Chablis Domaine Long-Depaquit Les Preuses 1996,,"Chablis, Burgundy, France",White Wine,95,"The nose offers notes of flowers, fresh foliage and gunflint. Soft, long, delicate and pure tasting without any heaviness on the palate, this wine also offers floral nuances with notes of hazelnut and dried fruit on the finish."
664,Albert Bichot Chablis Domaine Long-Depaquit Les Vaillons Premier Cru 2013,,"Chablis, Burgundy, France",White Wine,92,"This Premier Cru features attractive and very luminous pale yellow color. Very precise floral notes on the nose followedby subtle notes of oak and fresh fruit. Good structure on the palate. This wine is tangy, well-balanced and already showing the lovely fullness one would expect from a Premier Cru. A combination of linden blossom and almond give wayto a long, rounded finish. Serve at between 11° and 13°C. Lay down for 5 to 10 years to allow it to fully develop and become more voluptuous."
665,Albert Bichot Chablis Domaine Long-Depaquit Les Vaillons Premier Cru 2015,,"Chablis, Burgundy, France",White Wine,93,"Very precise floral notes on the nose followed by subtle notes of oak and fresh fruit. Good structure on the palate. This wine is tangy, well balanced and already showing the lovely fullness one would expect from a Premier Cru. A combination of linden blossom and almond give way to a long, rounded finish. "
666,Albert Bichot Chablis Domaine Long-Depaquit Les Vaillons Premier Cru 2017,,"Chablis, Burgundy, France",White Wine,92,"Very precise floral notes on the nose followed by subtle notes of oak and fresh fruit. Good structure on the palate. This wine is tangy, well-balanced and already showing the lovely fullness one would expect from a Premier Cru. A combination of linden blossom and almond give way to a long, rounded finish."
667,Albert Bichot Chablis Domaine Long-Depaquit Moutonne Grand Cru Monopole 2014,,"Chablis, Burgundy, France",White Wine,93,"Beautifully clear golden-green robe with very bright reflections. Nose is fleshy fruit (peach, nectarine) with discreet citrus and floral notes (jasmine, violet). Mouth is ample and generous with a very distinct marly minerality due to the micro-terroir. Immense freshness, light and supple woody hints with an exceptional persistence."
668,Albert Bichot Chablis Domaine Long-Depaquit Moutonne Grand Cru Monopole 2015,,"Chablis, Burgundy, France",White Wine,95,"Beautifully clear golden-green robe with very bright reflections. Nose is fleshy fruit (peach, nectarine) with discreet citrus and floral notes (jasmine, violet). Mouth is ample and generous with a very distinct marly minerality due to the micro-terroir. Immense freshness, light and supple woody hints with an exceptional persistence."
669,Albert Bichot Chablis Domaine Long-Depaquit Moutonne Grand Cru Monopole 2016,,"Chablis, Burgundy, France",White Wine,92,"The nose is evocative of fleshy fruit (peach, nectarine) with discreet citrus and floral notes (jasmine, purple). Full-bodied and generous on the palate with very distinct marly minerality due to the micro-terroir. Immensely fresh, light, and supple with hints of oak and exceptional length. "
670,Albert Bichot Chablis Domaine Long-Depaquit Moutonne Grand Cru Monopole 2017,,"Chablis, Burgundy, France",White Wine,93,"Very pure nose that is typical of Chablis (white flowers, flint) opening up to a palate that boasts an elegant combination of almond notes and lovely vivacity. "
671,Albert Bichot Chablis Grand Cru Les Clos 2012,,"Chablis, Burgundy, France",White Wine,94,"To the eye, the ""Les Clos"" Grand Cru beautifully displays its palate of pale yellows. The blend of the two vineyard plots can be detected throughout tasting. Firstly the nose, skilfully combining the floral notes from the highest of the two vineyard plots with almond and hazelnut notes from the mid-height slope vineyard. The mouth is full and structured around an uninvasive acidity. "
672,Albert Bichot Chablis Grand Cru Les Vaudesirs 2005,,"Chablis, Burgundy, France",White Wine,92,"Beautiful golden robe with very bright green reflections, it welcomes us with a citrus and delicate floral (lily of the valley, camomile) nose. The mouth has the vintage's tension, with a pleasant moderate acidity which makes this wine a typical representation of a Chablis Grand Cru: mineral and intense. "
673,Albert Bichot Chablis Grand Cru Moutonne Monopole 2005,,"Chablis, Burgundy, France",White Wine,94,"Beautifully clear golden-green robe with very bright reflections. This wine has aromas of fleshy fruit, like peach and nectarine, with discreet citrus and floral notes, like jasmine and violet. The mouth is ample and generous with a very distinct marly minerality due to the micro-terroir.  It has immense freshness with light and supple woody hints and an exceptional persistence."
674,Albert Bichot Chablis Grand Cru Moutonne Monopole 2012,,"Chablis, Burgundy, France",White Wine,91,"Beautifully clear golden-green robe with very bright reflections. Nose is fleshy fruit (peach, nectarine) with discreet citrusand floral notes (jasmine, violet). Mouth is ample and generous with a very distinct marly minerality due to the micro-terroir. Immense freshness, light and supple woody hints with an exceptional persistence."
675,Albert Bichot Chablis Les Blanchots Domaine Long-Depaquit Grand Cru 2017,,"Chablis, Burgundy, France",White Wine,90,"Les Blanchots is remarkably elegant. The nose is dominated by a bouquet of white flowers (Lillies, roses). The mouth is ample and generous with great harmony. The finale is very mineral with discreet hints of sea air and smoke (flint, pencil graphite). "
676,Albert Bichot Chablis Les Blanchots Grand Cru 2005,,"Chablis, Burgundy, France",White Wine,91,"Beautiful bright yellow robe with golden-green reflections. Les Blanchots is remarkably elegant. The nose is dominated by a bouquet of white flowers (Lillies, roses). The mouth is ample and generous with great harmony. The finale is very mineral with discreet hints of sea air and smoke (flint, pencil graphite). "
677,Albert Bichot Chablis Les Vaucopins Domaine Long-Depaquit Premier Cru 2017,,"Chablis, Burgundy, France",White Wine,91,"This wine features an expressive, rather powerful nose that is predominantly mineral. Milk caramel notes combine with elegant, refined nuances of oak. A hint of sucrosity on the palate with flavours of candied fruit, apricot, and quince. This beautiful, full-bodied wine finishes on a generous, slightly acidic note. "
678,Albert Bichot Chablis Montmains Domaine Long-Depaquit Premier Cru 2017,,"Chablis, Burgundy, France",White Wine,92,"The nose reveals fine floral notes and aromas and flavours of toasted almonds. Both rich and concentrated, “les Montmains” boasts a lovely, refreshing finish. "
679,Albert Bichot Chablis Premier Cru Les Blanchots 2012,,"Chablis, Burgundy, France",White Wine,92,"Beautiful bright yellow robe with golden-green reflections. Les Blanchots is remarkably elegant. The nose is dominated by a bouquet of white flowers (Lillies, roses). The mouth is ample and generous with great harmony. The finale is very mineral with discreet hints of sea air and smoke (flint, pencil graphite). "
680,Albert Bichot Chambolle-Musigny Les Chabiots Premier Cru 2017,,"Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,92,"The nose features intense aromas of wild fruit of the woods (blackcurrant, blackberry, blueberry). Both floral and fruity, this wine offers remarkable balance and a long, refreshing finish with hints of tobacco and menthol. "
681,Albert Bichot Chassagne-Montrachet Morgeot Premier Cru 2017,,"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,92,"Very fine and mineral, this wine develops aromas of green tea and citrus fruits, which will evolve towards the notes of dried fruit and rare spices. Very intense, it is full-bodied and well structured with mild tannins that provide nice overall equilibrium. Remarkable, long-lasting flavors."
682,Albert Bichot Clos de Vougeot Grand Cru Domaine du Clos Frantin 2017,,"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,92,"When young, our Clos-de-Vougeot develops a very complete and varied aromatic palette of wild red and black berries. With aging, it evolves towards the notes of light tobacco and tea. The palate is robust but not rustic, with a mentholated note that may be appreciated vintage after vintage."
683,Albert Bichot Corton-Charlemagne Grand Cru Domaine du Pavillon 2017,,"Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,90,"Of infinite delicateness, the express buttery notes, aromas of baked apple, citrus fruit, pineapple, linden blossom, juniper, cinnamon and flint. Hints of honey are also common. The concentration, distinction and balance of this Chardonnay are pleasantly surprising. The finish is complex and intense."
684,Albert Bichot Corton Grand Cru Clos Des Marechaudes 2012,,"Burgundy, France",Red Wine,90,"Beautiful, deep ruby in color, our Corton Grand Cru Clos des Marechaudes features well-balanced notes of vanilla and toast on the nose with nuances of raspberry. Starts off very round, rich and powerful, a harmonious combination of richness and the finesse of the terroir. The tannins are dense, mature and round. "
685,Albert Bichot Corton Grand Cru Clos Des Marechaudes 2013,,"Burgundy, France",Red Wine,92,"The Corton Grand Cru Clos des Marechaudes features well-balanced notes of vanilla and toast on the nose with nuances of raspberry. Starts off very round, rich and powerful, a harmonious combination of richness and the finesse of the terroir. The tannins are dense, mature and round. Very nice volume and length on the palate."
686,Albert Bichot Corton Grand Cru Clos Des Marechaudes 2017,,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,92,"The nose of our Aloxe-Corton Premier Cru ""Clos des Maréchaudes"" features fruity aromas of blackberry, strawberry and notes of mild spices, tea and cocoa. Boasting extremely supple structure, this balanced wine has lovely, pleasing, velvety tannins. The finish is long and aromatic, reminiscent of the fruity aromas perceived on the nose."
687,Albert Bichot Cremant de Bourgogne Brut Reserve,,"Burgundy, France",Sparkling & Champagne,90,"Fine, even bubbles, beautiful gold color with golden highlights.The nose boasts notes of citrus (lime, pink grapefruit) and white blossoms which pave the way for vivacity and andfreshness on the palate. Clean and precise on the palate with beautiful length."
688,Albert Bichot Fixin Clos de la Perriere Premier Cru Monopole 2015,,"Fixin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90,"The nose features black cherry and wild strawberries. Ample and very fine, it offers silky tannins. Its mineral hints remind the characteristics of the soil it comes from. The natural maturity of the fruit is balanced by the freshness of this terroir of altitude. On the palate, the aromas are complex, with fruit, liquorice and juniper berry."
689,Albert Bichot Fixin Rouge 2015,,"Fixin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,92,"This red Fixin has a very attractive ruby red color. Delicate and discreet, the nose has subtle notes of woodland undergrowth. Fleshy and robust, this crisp and oaky wine has harmonious balance. The finish is persistent with light spicy notes."
